ProvinceID,Province_Name,Year,DSL (Day),R35mm (Day),MONTH,MIN,MAX,MEAN
75,Samut Songkhram,2001,15,10,4,0.0,362.9299927,45.36675718
75,Samut Songkhram,2001,15,10,5,39.74000168,889.7000122,227.6875427
75,Samut Songkhram,2001,15,10,6,25.0,1104.800049,183.8860208
75,Samut Songkhram,2001,15,10,7,6.829999924,767.7999878,177.6150795
75,Samut Songkhram,2001,15,10,8,27.93000031,1384.0,256.6211302
75,Samut Songkhram,2001,15,10,9,68.02999878,685.3599854,210.4021084
75,Samut Songkhram,2001,15,10,10,17.01000023,669.4000244,202.1089918
75,Samut Songkhram,2001,15,10,11,0.0,635.8099976,48.22005453
75,Samut Songkhram,2001,15,10,12,0.0,580.8800049,34.71072139
75,Samut Songkhram,2002,15,7,1,0.0,77.59999847,6.877826453
75,Samut Songkhram,2002,15,7,2,0.0,159.1999969,8.369007345
75,Samut Songkhram,2002,15,7,3,0.0,212.3800049,43.40350725
75,Samut Songkhram,2002,15,7,4,0.0,315.25,64.75669739
75,Samut Songkhram,2002,15,7,5,67.80999756,752.1699829,212.2070597
75,Samut Songkhram,2002,15,7,6,10.10999966,869.9000244,161.7365587
75,Samut Songkhram,2002,15,7,7,20.42000008,766.7199707,158.6116125
75,Samut Songkhram,2002,15,7,8,41.41999817,1271.099976,269.7882156
75,Samut Songkhram,2002,15,7,9,50.34000015,629.4299927,304.2368926
75,Samut Songkhram,2002,15,7,10,0.109999999,427.4500122,121.8104388
75,Samut Songkhram,2002,15,7,11,0.01,833.9000244,110.7908258
75,Samut Songkhram,2002,15,7,12,0.029999999,807.5800171,62.53632524
75,Samut Songkhram,2003,11,9,1,0.0,239.25,10.93101177
75,Samut Songkhram,2003,11,9,2,0.0,142.6999969,22.49827851
75,Samut Songkhram,2003,11,9,3,2.920000076,272.6199951,89.24889114
75,Samut Songkhram,2003,11,9,4,0.0,150.1000061,51.40300152
75,Samut Songkhram,2003,11,9,5,0.75999999,533.9000244,136.1118818
75,Samut Songkhram,2003,11,9,6,0.479999989,488.9899902,178.9129449
75,Samut Songkhram,2003,11,9,7,0.49000001,957.9000244,178.3703775
75,Samut Songkhram,2003,11,9,8,27.95999908,953.2000122,210.9208388
75,Samut Songkhram,2003,11,9,9,62.34000015,675.0499878,282.9154052
75,Samut Songkhram,2003,11,9,10,1.5,794.2999878,123.8431831
75,Samut Songkhram,2003,11,9,11,0.0,625.960022,37.41467643
75,Samut Songkhram,2003,11,9,12,0.0,750.9899902,36.97684594
75,Samut Songkhram,2004,16,7,1,0.0,157.3999939,17.99567796
75,Samut Songkhram,2004,16,7,2,0.0,180.25,36.99068418
75,Samut Songkhram,2004,16,7,3,0.0,134.2799988,19.61673574
75,Samut Songkhram,2004,16,7,4,0.200000003,261.5799866,69.76839928
75,Samut Songkhram,2004,16,7,5,37.61999893,566.9799805,204.9708429
75,Samut Songkhram,2004,16,7,6,33.11000061,820.1699829,214.5627048
75,Samut Songkhram,2004,16,7,7,0.029999999,946.2000122,232.1987054
75,Samut Songkhram,2004,16,7,8,0.02,1130.099976,183.8146918
75,Samut Songkhram,2004,16,7,9,0.689999998,498.269989,229.1312153
75,Samut Songkhram,2004,16,7,10,0.0,660.3099976,63.1662201
75,Samut Songkhram,2004,16,7,11,0.0,600.2299805,37.32466177
75,Samut Songkhram,2004,16,7,12,0.0,283.75,13.64162518
75,Samut Songkhram,2005,10,8,1,0.0,110.4899979,6.951953248
75,Samut Songkhram,2005,10,8,2,0.0,61.36000061,2.202654605
75,Samut Songkhram,2005,10,8,3,0.0,294.230011,35.99085333
75,Samut Songkhram,2005,10,8,4,0.0,240.4100037,66.60004083
75,Samut Songkhram,2005,10,8,5,25.21999931,435.7000122,142.0474243
75,Samut Songkhram,2005,10,8,6,14.61999989,986.4000244,184.1222456
75,Samut Songkhram,2005,10,8,7,0.059999999,1392.400024,214.2269547
75,Samut Songkhram,2005,10,8,8,20.89999962,866.1799927,197.4540916
75,Samut Songkhram,2005,10,8,9,56.63000107,859.0999756,301.598691
75,Samut Songkhram,2005,10,8,10,11.01000023,526.7299805,127.8661243
75,Samut Songkhram,2005,10,8,11,1.0,871.4799805,103.436179
75,Samut Songkhram,2005,10,8,12,0.0,1214.349976,75.17203825
75,Samut Songkhram,2006,13,7,1,0.0,210.1900024,9.188108253
75,Samut Songkhram,2006,13,7,2,0.0,322.1400146,31.58987188
75,Samut Songkhram,2006,13,7,3,1.409999967,246.8800049,60.64376957
75,Samut Songkhram,2006,13,7,4,12.18999958,277.5,114.2552937
75,Samut Songkhram,2006,13,7,5,49.61000061,653.8699951,203.0756408
75,Samut Songkhram,2006,13,7,6,36.31999969,734.5700073,178.118296
75,Samut Songkhram,2006,13,7,7,18.14999962,2061.899902,229.2995883
75,Samut Songkhram,2006,13,7,8,24.30999947,1163.400024,251.1760132
75,Samut Songkhram,2006,13,7,9,52.81999969,739.7999878,240.2848459
75,Samut Songkhram,2006,13,7,10,53.04999924,829.0999756,191.1262346
75,Samut Songkhram,2006,13,7,11,0.0,417.730011,32.97740918
75,Samut Songkhram,2006,13,7,12,0.0,422.3800049,19.48064951
75,Samut Songkhram,2007,15,9,1,0.0,315.7999878,15.98526645
75,Samut Songkhram,2007,15,9,2,0.0,150.8999939,9.982204828
75,Samut Songkhram,2007,15,9,3,0.0,163.9900055,36.09564497
75,Samut Songkhram,2007,15,9,4,0.709999979,379.0599976,95.57519239
75,Samut Songkhram,2007,15,9,5,84.05000305,648.6900024,268.4749668
75,Samut Songkhram,2007,15,9,6,40.50999832,598.1599731,165.5010068
75,Samut Songkhram,2007,15,9,7,21.34000015,1067.599976,177.2529212
75,Samut Songkhram,2007,15,9,8,20.04999924,759.0,210.9210099
75,Samut Songkhram,2007,15,9,9,60.70999908,1113.400024,238.5527264
75,Samut Songkhram,2007,15,9,10,39.31000137,725.3300171,203.9341643
75,Samut Songkhram,2007,15,9,11,0.0,619.4099731,44.428281
75,Samut Songkhram,2007,15,9,12,0.0,539.3900146,21.21280557
75,Samut Songkhram,2008,11,6,1,0.0,455.7399902,21.73192498
75,Samut Songkhram,2008,11,6,2,0.01,214.3300018,31.81858509
75,Samut Songkhram,2008,11,6,3,0.0,222.3699951,39.91592078
75,Samut Songkhram,2008,11,6,4,15.31999969,339.7799988,131.3889331
75,Samut Songkhram,2008,11,6,5,53.11999893,1042.869995,211.0662026
75,Samut Songkhram,2008,11,6,6,35.22999954,738.2000122,183.6660102
75,Samut Songkhram,2008,11,6,7,28.84000015,891.0,183.1189963
75,Samut Songkhram,2008,11,6,8,12.40999985,614.7000122,193.5152641
75,Samut Songkhram,2008,11,6,9,13.60999966,1231.699951,285.2155624
75,Samut Songkhram,2008,11,6,10,26.71999931,490.3500061,185.238535
75,Samut Songkhram,2008,11,6,11,1.029999971,1207.47998,110.5663151
75,Samut Songkhram,2008,11,6,12,0.0,1082.72998,33.91889882
75,Samut Songkhram,2009,15,9,1,0.0,477.3699951,13.92209757
75,Samut Songkhram,2009,15,9,2,0.0,93.59999847,5.632997839
75,Samut Songkhram,2009,15,9,3,5.0,364.3999939,79.32695212
75,Samut Songkhram,2009,15,9,4,12.55000019,427.0599976,111.7601846
75,Samut Songkhram,2009,15,9,5,64.08000183,662.3900146,214.3428758
75,Samut Songkhram,2009,15,9,6,5.300000191,777.4099731,157.4404995
75,Samut Songkhram,2009,15,9,7,28.01000023,1497.699951,211.5438591
75,Samut Songkhram,2009,15,9,8,33.36999893,719.5900269,199.477326
75,Samut Songkhram,2009,15,9,9,45.43999863,1920.800049,238.9515667
75,Samut Songkhram,2009,15,9,10,2.609999895,510.3299866,140.1393467
75,Samut Songkhram,2009,15,9,11,0.0,923.9799805,57.75283407
75,Samut Songkhram,2009,15,9,12,0.0,280.480011,13.9916182
75,Samut Songkhram,2010,14,9,1,0.0,175.3600006,37.50571189
75,Samut Songkhram,2010,14,9,2,0.0,100.0800018,13.04886516
75,Samut Songkhram,2010,14,9,3,0.0,157.8999939,20.68541428
75,Samut Songkhram,2010,14,9,4,0.0,243.0800018,55.41092818
